rsi,macd,sma_short,sma_long,volume,label
50.0,0.0,0.003737918673056813,0.003737918673056813,0.0,1
50.0,0.0,1.6224449242747983,1.6224449242747983,0.0,1
50.0,0.0,0.0074277195502821655,0.0074277195502821655,0.0,1
50.0,0.0,0.32572729767184744,0.32572729767184744,0.0,0
50.0,0.0,0.010766,0.010766,0.0,0
50.0,0.0,0.020579,0.020579,0.0,0
50.0,0.0,2.744193052140046,2.744193052140046,0.0,1
50.0,0.0,1.5826497734485943,1.5826497734485943,0.0,1
50.0,0.0,0.006222779225992927,0.006222779225992927,0.0,1
50.0,0.0,0.008657763140561847,0.008657763140561847,0.0,1
50.0,0.0,0.16689903464738112,0.16689903464738112,0.0,0
50.0,0.0,0.20032160903323135,0.20032160903323135,0.0,1
50.0,0.0,0.11408521304413294,0.11408521304413294,0.0,1
50.0,0.0,0.061436149910254124,0.061436149910254124,0.0,1
50.0,0.0,0.0103999,0.0103999,0.0,1
50.0,0.0,0.21643171723643964,0.21643171723643964,0.0,0
50.0,0.0,4.605308281903544,4.605308281903544,0.0,0
50.0,0.0,165.8516964727957,165.8516964727957,0.0,0
50.0,0.0,0.3422,0.3422,0.0,1
50.0,0.0,0.1617586119154146,0.1617586119154146,0.0,1
50.0,0.0,1.61894,1.61894,0.0,1
50.0,0.0,0.38625687129170044,0.38625687129170044,0.0,0
50.0,0.0,0.007296150936937214,0.007296150936937214,0.0,0
50.0,0.0,0.39780199185507115,0.39780199185507115,0.0,0
50.0,0.0,1.1965311774142806,1.1965311774142806,0.0,1
50.0,0.0,0.007192359347929812,0.007192359347929812,0.0,0
50.0,0.0,0.029748861054893865,0.029748861054893865,0.0,0
50.0,0.0,0.021399933272464044,0.021399933272464044,0.0,0
50.0,0.0,1.35306,1.35306,0.0,0
50.0,0.0,1.3225707512071592,1.3225707512071592,0.0,0
50.0,0.0,0.11631958162800968,0.11631958162800968,0.0,0
50.0,0.0,3.034087730823856,3.034087730823856,0.0,0
50.0,0.0,0.0023063551420720503,0.0023063551420720503,0.0,1
50.0,0.0,0.2621117469513482,0.2621117469513482,0.0,0
50.0,0.0,0.0489978519057679,0.0489978519057679,0.0,0
50.0,0.0,0.1276844718574514,0.1276844718574514,0.0,0
50.0,0.0,0.012626749091018324,0.012626749091018324,0.0,0
50.0,0.0,0.0489978519057679,0.0489978519057679,0.0,0
50.0,0.0,1.8520300754497607,1.8520300754497607,0.0,1
50.0,0.0,0.08714786968321257,0.08714786968321257,0.0,1
50.0,0.0,0.010084753500309372,0.010084753500309372,0.0,1
50.0,0.0,45.60081275833452,45.60081275833452,0.0,1
50.0,0.0,0.01805717151478207,0.01805717151478207,0.0,1
50.0,0.0,0.19975040350501802,0.19975040350501802,0.0,0
50.0,0.0,0.1693162643803707,0.1693162643803707,0.0,1
50.0,0.0,0.0039707,0.0039707,0.0,1
50.0,0.0,0.7718295743261682,0.7718295743261682,0.0,1
50.0,0.0,0.00030988474224368174,0.00030988474224368174,0.0,1
50.0,0.0,0.3562907269500042,0.3562907269500042,0.0,1
50.0,0.0,0.7139849627823334,0.7139849627823334,0.0,1
50.0,0.0,7.63,7.63,0.0,0
50.0,0.0,0.021918,0.021918,0.0,1
50.0,0.0,0.0039925,0.0039925,0.0,1
50.0,0.0,109.70213562319624,109.70213562319624,0.0,0
50.0,0.0,0.008806576111473377,0.008806576111473377,0.0,1
50.0,0.0,0.034806419258590585,0.034806419258590585,0.0,1
50.0,0.0,1.0733,1.0733,0.0,1
