market,score,rsi_at_entry,macd_at_entry,sma_short,sma_long,volatility,volume_24h,dca_buys,invested_eur,hold_hours,max_profit_pct,regime_aggressive,regime_defensive,return_pct,label
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.129,1
LDO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.5093,1
HEI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.2892,1
BTC-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-12.6153,0
ETH-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-20.6951,0
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.5751,1
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-4.7008,0
FET-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-4.1981,0
AVAX-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.4269,1
BTC-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-13.0036,0
ADA-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-11.0808,0
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-5.7664,0
UNI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-0.0767,0
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,4.5157,1
DOT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,12.3338,1
HEI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.1669,0
ENA-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-59.2448,0
FET-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.2165,1
FET-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.6307,0
PEPE-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.092,1
ENA-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.1,1
APT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8731,1
MOODENG-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,5.6719,1
INJ-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.2424,1
S-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,4.6087,1
INJ-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.8528,1
FET-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,3.585,0
POL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.6606,1
ADA-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.3985,1
